City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
103,nadym,65.5333,72.5167,-11.13,81,100,8.61,RU,1711935338.0057878
104,hobyo,5.3505,48.5268,27.51,79,4,5.19,SO,1711935338.624255
105,mahina,-17.5065,-149.489,27.87,78,75,1.03,PF,1711935339.069931
106,lensk,60.7253,114.9278,-5.23,74,5,1.24,RU,1711935339.574516
107,figuig (centre),32.1089,-1.2286,16.0,33,0,2.8,MA,1711935340.086247
108,alice springs,-23.7,133.8833,30.12,50,40,3.09,AU,1711935340.946149
109,constantia,44.1833,28.65,15.39,66,7,3.58,RO,1711935341.377553
110,bayganin,48.6947,55.8742,3.04,81,88,2.79,KZ,1711935342.173422
111,bayanhongor,46.7167,100.1167,0.1,42,29,3.07,MN,1711935342.7404249
112,pokhara,28.2333,83.9833,24.41,23,0,0.58,NP,1711935343.157711
113,anatuya,-28.4606,-62.8347,25.1,73,38,5.13,AR,1711935343.5853922
114,iskateley,67.6803,53.1512,-13.32,94,26,3.58,RU,1711935344.171343
115,kolonia town,6.964,158.206,31.06,74,100,5.14,FM,1711935344.668169
116,elesbao veloso,-6.2019,-42.1403,23.0,98,100,1.66,BR,1711935345.093952
117,ancud,-41.8697,-73.8203,7.85,83,1,1.92,CL,1711935345.683224
118,ambovombe,-25.1667,46.0833,22.27,86,63,8.9,MG,1711935346.144045
119,hadibu,12.65,54.0333,26.32,74,1,4.3,YE,1711935346.749056
120,vila franca do campo,37.7167,-25.4333,14.23,77,99,4.38,PT,1711935347.326838
121,acarau,-2.8856,-40.12,24.88,87,100,1.79,BR,1711935347.768455
122,puerto armuelles,8.2833,-82.8667,29.49,62,8,2.24,PA,1711935348.317888
123,sao gabriel da cachoeira,-0.1303,-67.0892,22.92,98,100,0.3,BR,1711935349.5285041
124,brokopondo,4.75,-55.1667,26.34,78,93,4.31,SR,1711935350.053657
125,ribeira grande,38.5167,-28.7,15.99,91,100,9.83,PT,1711935350.722327
126,atafu village,-8.5421,-172.5159,29.79,74,100,5.89,TK,1711935351.906655
127,nogliki,51.8333,143.1667,0.19,91,100,1.34,RU,1711935352.3463428
128,bratsk,56.1325,101.6142,-1.73,75,82,6.43,RU,1711935352.902866
129,gadzhiyevo,69.2551,33.3362,-10.26,91,82,4.39,RU,1711935353.550155
130,porto novo,6.4965,2.6036,28.16,82,100,4.08,BJ,1711935353.988404
131,chingirlau,51.095,54.0814,3.18,90,60,3.5,KZ,1711935354.531436
132,nema,57.5067,50.5011,1.12,92,100,2.11,RU,1711935354.980185
133,nar'yan-mar,67.6713,53.087,-13.27,94,26,3.58,RU,1711935355.4569159
134,gharghoda,22.1667,83.35,29.0,47,4,0.85,IN,1711935355.928781
135,ust-nera,64.5667,143.2,-11.17,82,88,1.6,RU,1711935356.717154
136,talnakh,69.4865,88.3972,-22.72,99,99,2.19,RU,1711935358.068952
137,wanning,18.8003,110.3967,28.68,74,1,6.03,CN,1711935358.514452
138,yaren,-0.5472,166.916,28.33,79,62,6.92,NR,1711935359.032479
139,gereida,11.2811,25.1414,25.32,8,100,7.19,SD,1711935359.489851
140,camayenne,9.535,-13.6878,27.05,89,40,3.09,GN,1711935360.179661
141,tawau,4.2498,117.8871,30.07,79,100,1.07,MY,1711935361.018837
142,grums,59.3466,13.1091,4.28,93,100,3.6,SE,1711935361.4758542
143,sheridan,44.8333,-106.9173,1.28,93,100,3.09,US,1711935362.670857
144,fort st. john,56.2499,-120.8529,11.94,32,20,12.35,CA,1711935363.296492
145,luwuk,-0.9516,122.7875,29.48,79,76,0.72,ID,1711935363.772383
146,itaituba,-4.2761,-55.9836,26.07,86,94,0.61,BR,1711935365.301787
147,segezha,63.7415,34.3222,0.13,95,99,5.43,RU,1711935365.769258
148,maues,-3.3836,-57.7186,24.26,97,79,1.08,BR,1711935366.350826
149,poli,-3.3333,36.8,16.53,94,99,0.98,TZ,1711935366.833925
150,rongelap,11.1635,166.8941,26.97,72,41,9.2,MH,1711935367.439502
151,bubaque,11.2833,-15.8333,24.6,69,94,5.56,GW,1711935368.459409
152,spasskoye,44.6108,132.7969,1.98,43,15,5.12,RU,1711935368.948864
153,oliver,49.1831,-119.5524,14.95,26,100,2.06,CA,1711935370.273847
